femaDeclarationString,disasterNumber,state_x,declarationType,declarationDate,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,designatedArea,declarationRequestNumber,state_y,county,PublicProjectNumber,PublicApproved,PrivateDamage,PrivateApproved,PrivateNumberApproved
DR-1239-TX,1239,TX,DR,1998-08-26 15:50:08+00:00,Severe Storm(s),TROPICAL STORM CHARLEY,0,0,1,1,1998-08-22 13:55:00+00:00,1998-08-31 12:00:00+00:00,2006-03-24 00:00:00+00:00,48,267,Kimble (County),98062,Texas,Kimble,7.0,79018.25,0.0,0.0,0.0
DR-1239-TX,1239,TX,DR,1998-08-26 15:50:08+00:00,Severe Storm(s),TROPICAL STORM CHARLEY,0,1,1,1,1998-08-22 13:55:00+00:00,1998-08-31 12:00:00+00:00,2006-03-24 00:00:00+00:00,48,137,Edwards (County),98062,Texas,Edwards,20.0,352427.09,0.0,0.0,0.0
DR-1239-TX,1239,TX,DR,1998-08-26 15:50:08+00:00,Severe Storm(s),TROPICAL STORM CHARLEY,0,1,1,1,1998-08-22 13:55:00+00:00,1998-08-31 12:00:00+00:00,2006-03-24 00:00:00+00:00,48,271,Kinney (County),98062,Texas,Kinney,10.0,257428.21,0.0,0.0,0.0
DR-1239-TX,1239,TX,DR,1998-08-26 15:50:08+00:00,Severe Storm(s),TROPICAL STORM CHARLEY,0,1,1,1,1998-08-22 13:55:00+00:00,1998-08-31 12:00:00+00:00,2006-03-24 00:00:00+00:00,48,323,Maverick (County),98062,Texas,Maverick,14.0,274149.79000000004,0.0,0.0,0.0
DR-1239-TX,1239,TX,DR,1998-08-26 15:50:08+00:00,Severe Storm(s),TROPICAL STORM CHARLEY,0,1,1,1,1998-08-22 13:55:00+00:00,1998-08-31 12:00:00+00:00,2006-03-24 00:00:00+00:00,48,385,Real (County),98062,Texas,Real,46.0,295671.69999999995,0.0,0.0,0.0
DR-1239-TX,1239,TX,DR,1998-08-26 15:50:08+00:00,Severe Storm(s),TROPICAL STORM CHARLEY,0,1,1,1,1998-08-22 13:55:00+00:00,1998-08-31 12:00:00+00:00,2006-03-24 00:00:00+00:00,48,463,Uvalde (County),98062,Texas,Uvalde,26.0,234655.73,0.0,0.0,0.0
DR-1239-TX,1239,TX,DR,1998-08-26 15:50:08+00:00,Severe Storm(s),TROPICAL STORM CHARLEY,0,1,1,1,1998-08-22 13:55:00+00:00,1998-08-31 12:00:00+00:00,2006-03-24 00:00:00+00:00,48,465,Val Verde (County),98062,Texas,Val Verde,93.0,2170385.58,0.0,0.0,0.0
DR-1239-TX,1239,TX,DR,1998-08-26 15:50:08+00:00,Severe Storm(s),TROPICAL STORM CHARLEY,0,1,1,1,1998-08-22 13:55:00+00:00,1998-08-31 12:00:00+00:00,2006-03-24 00:00:00+00:00,48,479,Webb (County),98062,Texas,Webb,24.0,384923.05,0.0,0.0,0.0
DR-1257-TX,1257,TX,DR,1998-10-21 20:04:00+00:00,Flood,TX-FLOODING 10/18/98,0,1,1,0,1998-10-17 08:00:00+00:00,1998-11-15 08:00:00+00:00,2012-06-19 00:00:00+00:00,48,321,Matagorda (County),98063,Texas,Matagorda,4.0,30413.25,0.0,0.0,0.0
DR-1257-TX,1257,TX,DR,1998-10-21 20:04:00+00:00,Flood,TX-FLOODING 10/18/98,0,1,1,0,1998-10-17 08:00:00+00:00,1998-11-15 08:00:00+00:00,2012-06-19 00:00:00+00:00,48,355,Nueces (County),98063,Texas,Nueces,16.0,233590.82,0.0,0.0,0.0
